Hour,PV,WT,HY
1,0,0.06,0.66
2,0,0.04,0.66
3,0,0.019,0.66
4,0,0.007,0.66
5,0,0.003,0.66
6,0,0.002,0.66
7,0.035,0.003,1
8,0.123,0.001,1
9,0.301,0.003,1
10,0.472,0.013,1
11,0.609,0.012,1
12,0.699,0.011,1
13,0.751,0.015,1
14,0.76,0.027,1
15,0.712,0.054,1
16,0.587,0.093,1
17,0.509,0.127,1
18,0.347,0.146,1
19,0.215,0.163,1
20,0.066,0.192,1
21,0.01,0.293,1
22,0,0.467,0.66
23,0,0.489,0.66
24,0,0.43,0.66
25,0,0.428,0.66
26,0,0.413,0.66
27,0,0.395,0.66
28,0,0.38,0.66
29,0,0.454,0.66
30,0,0.395,0.66
31,0.021,0.234,1
32,0.091,0.114,1
33,0.215,0.112,1
34,0.31,0.105,1
35,0.39,0.095,1
36,0.469,0.087,1
37,0.503,0.083,1
38,0.548,0.074,1
39,0.571,0.089,1
40,0.471,0.116,1
41,0.335,0.135,1
42,0.241,0.103,1
43,0.167,0.064,1
44,0.074,0.035,1
45,0.008,0.023,1
46,0,0.029,0.66
47,0,0.054,0.66
48,0,0.084,0.66
49,0,0.054,0.66
50,0,0.014,0.66
51,0,0.003,0.66
52,0,0.002,0.66
53,0,0.003,0.66
54,0,0.005,0.66
55,0.02,0.006,1
56,0.099,0.001,1
57,0.216,0.005,1
58,0.315,0.011,1
59,0.44,0.004,1
60,0.578,0.001,1
61,0.662,0,1
62,0.66,0,1
63,0.67,0,1
64,0.581,0,1
65,0.46,0,1
66,0.341,0,1
67,0.199,0,1
68,0.073,0.002,1
69,0.008,0.015,1
70,0,0.049,0.66
71,0,0.085,0.66
72,0,0.113,0.66
73,0,0.136,0.66
74,0,0.164,0.66
75,0,0.194,0.66
76,0,0.196,0.66
77,0,0.172,0.66
78,0,0.137,0.66
79,0.031,0.096,1
80,0.11,0.039,1
81,0.208,0.021,1
82,0.315,0.042,1
83,0.406,0.048,1
84,0.497,0.038,1
85,0.556,0.02,1
86,0.558,0.005,1
87,0.503,0.001,1
88,0.424,0,1
89,0.338,0,1
90,0.269,0,1
91,0.155,0.001,1
92,0.067,0.004,1
93,0.007,0.02,1
94,0,0.066,0.66
95,0,0.111,0.66
96,0,0.152,0.66
97,0,0.162,0.66
98,0,0.139,0.66
99,0,0.125,0.66
100,0,0.121,0.66
101,0,0.123,0.66
102,0,0.127,0.66
103,0.034,0.089,1
104,0.12,0.047,1
105,0.249,0.07,1
106,0.375,0.09,1
107,0.475,0.095,1
108,0.544,0.093,1
109,0.601,0.093,1
110,0.615,0.097,1
111,0.589,0.107,1
112,0.522,0.121,1
113,0.44,0.141,1
114,0.321,0.146,1
115,0.185,0.152,1
116,0.071,0.157,1
117,0.007,0.278,1
118,0,0.366,0.66
119,0,0.309,0.66
120,0,0.291,0.66
121,0,0.279,0.66
122,0,0.237,0.66
123,0,0.201,0.66
124,0,0.159,0.66
125,0,0.138,0.66
126,0,0.132,0.66
127,0.036,0.101,1
128,0.126,0.053,1
129,0.258,0.058,1
130,0.384,0.089,1
131,0.44,0.13,1
132,0.395,0.144,1
133,0.293,0.133,1
